ImagePath,Label
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard1.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard10.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard100.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard101.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard102.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard103.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard104.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard105.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard106.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard107.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard108.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard109.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard11.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard110.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard111.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard112.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard113.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard114.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard115.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard116.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard117.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard118.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard119.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard12.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard120.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard121.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard122.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard123.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard124.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard125.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard126.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard127.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard128.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard129.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard13.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard130.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard131.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard132.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard133.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard134.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard135.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard136.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard137.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard138.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard139.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard14.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard140.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard141.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard142.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard143.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard144.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard145.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard146.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard147.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard148.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard149.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard15.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard150.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard151.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard152.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard153.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard154.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard155.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard156.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard157.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard158.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard159.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard16.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard160.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard161.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard162.jpg,Recycable
C:/Users/tasnim/Desktop/dataset-resized/cardboard/cardboard163.jpg,Recycable
